Application_ID,Age,Education,Employment_Type,Marital_Status,Dependents,Property_Area,Experience_Years,Monthly_Income,Credit_Score,Loan_Amount,Loan_Term_Months,Existing_Loan,EMI,Savings,Debt_to_Income_Ratio,Loan_Approved
APP-00001,59,Bachelor,Salaried,Single,2,Urban,34,221390,650,1236074,72,Yes,21812,185203,0.099,1
APP-00002,42,Master,Self-employed,Married,2,Urban,16,162165,688,627035,12,Yes,60644,75725,0.374,0
APP-00003,64,Bachelor,Salaried,Single,3,Semiurban,36,138607,598,168148,60,No,3169,916606,0.023,1
APP-00004,27,Bachelor,Salaried,Married,3,Semiurban,2,169318,730,1608349,24,No,80043,1399673,0.473,1
APP-00005,49,Bachelor,Salaried,Married,4,Urban,21,125980,713,1502107,12,No,136435,589879,1.083,1
APP-00006,36,Bachelor,Salaried,Single,0,Urban,10,147958,679,1385160,48,No,33047,988732,0.223,1
APP-00007,45,PhD,Salaried,Married,1,Rural,17,242213,743,686146,60,No,14291,298998,0.059,1
APP-00008,61,Bachelor,Salaried,Single,2,Semiurban,36,152891,820,589570,84,Yes,8493,1331685,0.056,1
APP-00009,55,Matric,Salaried,Single,3,Urban,33,234506,825,1794490,72,No,29783,132409,0.127,1
APP-00010,33,Intermediate,Salaried,Married,2,Semiurban,9,109395,726,1254454,72,No,21133,208286,0.193,1
APP-00011,49,Bachelor,Salaried,Married,3,Urban,24,163498,540,2161083,48,Yes,56584,210235,0.346,0
APP-00012,50,Master,Self-employed,Single,0,Urban,23,188008,664,1603165,84,No,20614,137948,0.11,1
APP-00013,23,Intermediate,Salaried,Single,0,Urban,0,162101,729,1113343,24,No,55796,128451,0.344,1
APP-00014,32,Bachelor,Self-employed,Single,2,Semiurban,5,147824,644,1500804,72,No,24094,327824,0.163,1
APP-00015,22,Intermediate,Salaried,Married,2,Urban,0,168657,773,1841093,60,No,35622,116081,0.211,1
APP-00016,36,Bachelor,Salaried,Married,3,Urban,14,161628,591,1707618,48,Yes,44757,152483,0.277,0
APP-00017,61,Matric,Salaried,Married,3,Semiurban,39,162455,781,1956926,48,No,51899,564594,0.319,1
APP-00018,36,Bachelor,Self-employed,Married,2,Urban,13,210772,696,1341082,60,No,25067,279544,0.119,1
APP-00019,39,Matric,Business,Married,3,Semiurban,10,64825,702,768234,36,No,27439,511157,0.423,1
APP-00020,55,Bachelor,Salaried,Single,3,Urban,26,137898,664,2200021,72,No,36014,646584,0.261,1
APP-00021,53,Intermediate,Self-employed,Single,4,Rural,28,246295,589,207450,84,No,2867,1993509,0.012,1
APP-00022,28,Master,Self-employed,Single,4,Urban,4,169924,646,2827423,24,No,131824,134123,0.776,0
APP-00023,26,Master,Self-employed,Single,2,Urban,2,163712,708,2167359,12,Yes,228882,128015,1.398,0
APP-00024,38,Bachelor,Unemployed,Married,0,Urban,16,58369,623,1324665,24,No,68604,509616,1.175,0
APP-00025,63,Master,Salaried,Married,0,Urban,36,231598,551,764076,84,No,9987,1307286,0.043,1
APP-00026,56,Intermediate,Self-employed,Married,0,Urban,30,80625,655,766326,60,No,15682,128834,0.195,1
APP-00027,42,Bachelor,Salaried,Married,3,Semiurban,19,160976,497,2085588,24,No,99042,1435412,0.615,0
APP-00028,26,Bachelor,Self-employed,Single,4,Rural,0,144476,538,1523286,48,Yes,36025,1090793,0.249,0
APP-00029,43,Intermediate,Salaried,Married,4,Urban,15,139235,609,1811741,24,Yes,83087,1078632,0.597,0
APP-00030,21,Master,Salaried,Single,3,Urban,0,99375,549,303861,36,Yes,9142,464605,0.092,0
APP-00031,25,Intermediate,Self-employed,Single,0,Urban,0,116781,571,1839183,60,No,38546,494963,0.33,0
APP-00032,50,Intermediate,Salaried,Married,1,Urban,24,104473,650,1452695,72,No,24714,407827,0.237,1
APP-00033,48,Bachelor,Salaried,Married,1,Semiurban,19,100302,708,1648098,72,Yes,28853,514999,0.288,1
APP-00034,63,Bachelor,Salaried,Married,1,Urban,38,172382,699,2029305,24,No,97252,648873,0.564,1
APP-00035,46,Intermediate,Salaried,Married,4,Rural,19,131333,730,2328636,12,No,211250,1119268,1.609,1
APP-00036,56,Master,Self-employed,Single,4,Rural,33,282561,675,170640,84,Yes,2540,410573,0.009,1
APP-00037,32,Matric,Business,Single,3,Urban,10,223384,656,166234,48,Yes,3816,1138035,0.017,1
APP-00038,61,Bachelor,Salaried,Single,4,Rural,37,175213,591,1139458,36,No,38378,676490,0.219,1
APP-00039,56,Master,Salaried,Married,0,Semiurban,30,153142,825,2376360,84,No,35292,241915,0.23,1
APP-00040,58,Master,Salaried,Single,3,Rural,30,152071,700,1437682,60,No,28942,167504,0.19,1
APP-00041,37,Matric,Salaried,Single,4,Semiurban,9,186071,511,849074,84,No,11163,1144764,0.06,1
APP-00042,48,Matric,Self-employed,Married,4,Urban,21,106311,640,2487312,12,No,227637,223920,2.141,0
APP-00043,26,Intermediate,Salaried,Married,2,Urban,3,177537,675,831899,60,Yes,15199,625650,0.086,1
APP-00044,40,Matric,Self-employed,Married,0,Urban,18,83028,833,1517077,36,Yes,49074,182502,0.591,0
APP-00045,31,Master,Salaried,Married,1,Semiurban,6,218989,850,2767867,36,No,93977,374167,0.429,1
APP-00046,48,Master,Unemployed,Single,1,Semiurban,23,84887,738,1700396,60,No,36286,128012,0.427,0
APP-00047,25,Matric,Salaried,Single,0,Rural,0,164473,791,212816,12,No,20623,295977,0.125,1
APP-00048,42,Bachelor,Salaried,Married,4,Semiurban,18,117812,514,803286,60,No,17006,725460,0.144,1
APP-00049,58,Master,Self-employed,Married,3,Semiurban,34,138708,595,1598189,72,Yes,24974,944604,0.18,1
APP-00050,21,Master,Salaried,Married,1,Semiurban,0,178319,721,2783317,24,Yes,144953,628362,0.813,1
APP-00051,32,Bachelor,Self-employed,Single,1,Semiurban,10,172504,595,1192814,36,No,41504,874141,0.241,1
APP-00052,31,Intermediate,Business,Single,0,Semiurban,7,305492,810,880722,84,Yes,13409,2583619,0.044,1
APP-00053,58,Matric,Business,Married,4,Urban,36,126640,633,1365040,72,No,22528,660199,0.178,1
APP-00054,54,Master,Self-employed,Single,3,Rural,27,157570,671,598870,72,No,10053,676997,0.064,1
APP-00055,60,Bachelor,Business,Married,1,Urban,35,191209,640,2254260,24,Yes,104932,1169771,0.549,0
APP-00056,42,Bachelor,Unemployed,Married,2,Urban,16,60301,491,2600856,36,Yes,85673,184293,1.421,0
APP-00057,37,Intermediate,Salaried,Married,1,Rural,14,191852,740,489593,48,No,12721,77661,0.066,1
APP-00058,46,Master,Unemployed,Single,0,Urban,19,97676,803,730265,84,No,10066,831106,0.103,1
APP-00059,57,Master,Salaried,Married,3,Urban,32,150048,805,1755016,48,No,43497,36734,0.29,1
APP-00060,42,Master,Business,Single,2,Semiurban,19,134761,520,1102163,12,No,112246,922826,0.833,0
APP-00061,26,Matric,Salaried,Single,2,Rural,0,151421,656,2342142,36,Yes,71060,134040,0.469,0
APP-00062,51,Master,Salaried,Single,2,Urban,22,164033,696,1891822,36,Yes,66200,397952,0.404,1
APP-00063,22,Matric,Business,Single,1,Semiurban,0,138236,572,1054480,72,No,17524,864016,0.127,1
APP-00064,34,Bachelor,Unemployed,Single,1,Rural,5,52985,515,814743,24,No,37667,97958,0.711,0
APP-00065,64,PhD,Salaried,Married,2,Urban,41,183109,764,2290222,84,Yes,32274,954118,0.176,1
APP-00066,50,Bachelor,Self-employed,Married,3,Semiurban,22,87145,606,2969760,36,Yes,102543,53925,1.177,0
APP-00067,49,Bachelor,Self-employed,Married,3,Semiurban,20,203041,640,779290,72,No,13198,659789,0.065,1
APP-00068,45,Intermediate,Salaried,Married,0,Rural,19,116684,490,2415286,60,Yes,47360,412400,0.406,0
APP-00069,37,Master,Self-employed,Single,2,Urban,15,260457,548,1416128,48,Yes,35325,1461238,0.136,1
APP-00070,56,Bachelor,Self-employed,Single,2,Semiurban,30,170536,620,2478325,48,No,63873,1423636,0.375,1
