area_sqft,bedrooms,bathrooms,location,house_age,price
901,1,2,Karachi,21,8190000
3983,4,5,Karachi,3,23548000
3446,6,6,Lahore,23,20308000
2475,6,6,Karachi,3,19184000
2449,2,1,Rawalpindi,1,15058000
4364,3,4,Lahore,3,24195000
886,4,5,Karachi,14,9405000
3638,2,2,Faisalabad,19,16965000
1406,2,3,Lahore,12,9438000
923,2,2,Karachi,3,8218000
2869,6,5,Rawalpindi,6,18901000
4891,5,6,Lahore,26,27003000
3811,6,5,Lahore,29,21667000
3925,5,4,Lahore,23,20356000
3729,6,6,Faisalabad,3,22228000
4038,1,2,Lahore,25,19654000
2810,6,6,Lahore,21,19694000
1076,1,1,Lahore,16,6702000
4279,3,2,Lahore,4,22888000
2527,4,3,Islamabad,30,17522000
2752,3,2,Lahore,13,16391000
2168,1,1,Islamabad,1,15352000
1321,2,3,Islamabad,6,12203000
4671,5,6,Rawalpindi,12,26043000
4017,2,3,Lahore,1,22607000
3398,2,1,Faisalabad,10,16645000
2311,6,5,Islamabad,14,18697000
4203,1,1,Lahore,29,18980000
2954,6,6,Rawalpindi,2,19980000
2495,6,6,Faisalabad,17,16305000
2527,4,4,Karachi,28,15453000
1522,1,1,Faisalabad,24,7848000
914,1,2,Karachi,28,6724000
2996,2,1,Islamabad,5,17937000
4496,4,3,Faisalabad,24,22073000
787,1,2,Karachi,30,5738000
4363,3,4,Rawalpindi,10,23384000
4225,1,1,Karachi,15,20897000
1745,4,4,Rawalpindi,16,12672000
3343,1,2,Islamabad,15,18473000
1243,5,6,Lahore,8,11843000
3912,1,2,Karachi,30,19174000
3653,2,2,Karachi,29,19874000
2095,2,2,Lahore,11,13244000
805,5,6,Lahore,24,9113000
4869,1,1,Karachi,12,24884000
2506,3,2,Lahore,24,12926000
4519,4,4,Lahore,18,24192000
3551,4,5,Rawalpindi,14,21533000
4003,5,4,Rawalpindi,3,23139000
3920,5,5,Rawalpindi,20,21858000
1376,3,3,Karachi,9,11955000
2137,5,5,Faisalabad,6,15288000
2600,2,3,Islamabad,5,16272000
2740,6,5,Lahore,30,16014000
697,4,5,Lahore,3,9654000
2960,5,5,Rawalpindi,24,17037000
1194,6,6,Lahore,26,12048000
3845,5,5,Islamabad,0,24894000
3574,6,5,Faisalabad,18,19093000
4652,4,5,Lahore,17,24324000
3852,1,2,Lahore,11,18171000
2150,3,2,Faisalabad,20,11828000
4854,2,3,Islamabad,12,26424000
2349,6,6,Lahore,13,16680000
1966,2,2,Faisalabad,13,11948000
4575,2,3,Faisalabad,24,22514000
2167,2,2,Islamabad,19,14361000
843,4,4,Islamabad,11,9583000
2613,4,3,Karachi,28,16316000
4081,6,6,Lahore,24,23821000
1352,3,2,Islamabad,28,11070000
2583,2,3,Karachi,22,15947000
1084,1,1,Islamabad,12,8906000
3589,1,1,Rawalpindi,23,18519000
2641,3,2,Lahore,10,15219000
1986,6,6,Islamabad,8,17968000
1521,4,3,Lahore,13,10581000
3040,6,6,Faisalabad,30,16963000
3514,1,2,Karachi,17,19804000
4732,1,2,Islamabad,11,25185000
2467,6,6,Islamabad,14,19627000
1223,1,2,Karachi,9,9911000
4247,1,1,Islamabad,20,22319000
3334,3,2,Rawalpindi,10,19139000
3651,6,6,Islamabad,17,23690000
937,5,6,Rawalpindi,11,9058000
1905,1,2,Faisalabad,9,10299000
3956,6,6,Karachi,30,23573000
4246,6,5,Islamabad,10,26790000
2458,5,5,Lahore,2,16415000
4122,6,6,Rawalpindi,11,23572000
4288,2,3,Islamabad,16,23511000
2244,6,6,Karachi,2,17747000
4542,2,1,Lahore,9,22252000
1797,5,4,Faisalabad,5,12639000
1578,4,5,Karachi,15,12604000
